"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.57 0.63 0.564 0.506 0.135 0.092 0.132 0.428 216 399 1231342
0.553 0.608 0.567 0.553 0.099 0.028 0.279 0.365 188 165 1231343
0.569 0.648 0.622 0.382 0.046 0.222 0.141 0.54 130 330 1231344
0.56 0.638 0.603 0.415 0.123 0.182 0.121 0.512 148 387 1231345
0.57 0.65 0.619 0.362 0.032 0.228 0.15 0.524 224 497 1231346
0.565 0.64 0.593 0.368 0.124 0.223 0.074 0.54 151 550 1231347
0.537 0.613 0.596 0.388 0.112 0.144 0.104 0.427 116 236 1231348
0.315 0.397 0.38 0.283 0.086 0.103 0.146 0.195 229 297 1231349
0.309 0.379 0.345 0.203 0.045 0.142 0.22 0.14 326 345 1231350
0.32 0.398 0.371 0.234 0.116 0.127 0.17 0.192 406 414 1231351
0.322 0.403 0.318 0.239 0.057 0.13 0.161 0.187 341 463 1231352
0.322 0.39 0.366 0.284 0.01 0.076 0.247 0.138 238 173 1231353
0.406 0.436 0.433 0.392 0 0.059 0.177 0.317 190 285 1231354
0.396 0.428 0.396 0.353 0.034 0.054 0.157 0.278 200 313 1231355
0.409 0.44 0.417 0.377 0.05 0.053 0.172 0.28 286 430 1231356
0.407 0.444 0.422 0.343 0 0.102 0.071 0.347 234 542 1231357
0.401 0.43 0.425 0.399 0 0.036 0.291 0.191 182 146 1231358
0.408 0.456 0.437 0.235 0.103 0.196 0.093 0.362 132 372 1231359
0.416 0.458 0.433 0.211 0.135 0.216 0.127 0.338 109 433 1231360
0.423 0.476 0.445 0.227 0.086 0.216 0.143 0.335 181 573 1231361
0.418 0.474 0.448 0.212 0.131 0.199 0.055 0.426 109 644 1231362
0.399 0.448 0.437 0.188 0.079 0.121 0.188 0.299 119 195 1231363
0.497 0.595 0.544 0.493 0.086 0.051 0.221 0.291 168 207 1231364
0.489 0.59 0.542 0.39 0.098 0.146 0.311 0.213 208 275 1231365
0.489 0.608 0.538 0.422 0.034 0.111 0.312 0.239 282 282 1231366
0.49 0.593 0.553 0.454 0.072 0.09 0.162 0.299 286 287 1231367
0.497 0.589 0.573 0.48 0.038 0.101 0.339 0.226 202 161 1231368
0.561 0.624 0.589 0.551 0 0.055 0.205 0.364 166 175 1231369
0.561 0.623 0.589 0.488 0.017 0.097 0.261 0.342 152 190 1231370
0.57 0.629 0.565 0.476 0 0.097 0.177 0.457 196 285 1231371
0.564 0.633 0.56 0.507 0 0.111 0.107 0.497 206 283 1231372
0.563 0.628 0.615 0.577 0.016 0.053 0.28 0.364 161 151 1231373
0.55 0.631 0.598 0.338 0 0.238 0.152 0.485 112 246 1231374
0.56 0.645 0.568 0.316 0.008 0.187 0.13 0.41 114 261 1231375
0.562 0.644 0.588 0.344 0.011 0.225 0.151 0.458 159 366 1231376
0.563 0.649 0.597 0.337 0.035 0.27 0.048 0.567 114 408 1231377
0.547 0.628 0.612 0.435 0.147 0.162 0.222 0.459 98 196 1231378
0.308 0.384 0.339 0.21 0.029 0.133 0.184 0.19 184 278 1231379
0.317 0.399 0.359 0.217 0.042 0.143 0.192 0.156 238 353 1231380
0.321 0.396 0.354 0.202 0.027 0.145 0.168 0.204 307 348 1231381
0.317 0.401 0.316 0.189 0.005 0.145 0.155 0.202 284 430 1231382
0.327 0.391 0.375 0.3 0.1 0.067 0.251 0.132 202 151 1231383
0.401 0.438 0.424 0.368 0 0.077 0.188 0.306 152 227 1231384
0.4 0.437 0.398 0.327 0.041 0.088 0.104 0.222 156 284 1231385
0.403 0.443 0.402 0.319 0.025 0.1 0.115 0.278 229 363 1231386
0.4 0.44 0.387 0.272 0.01 0.123 0.06 0.305 172 430 1231387
0.399 0.434 0.433 0.415 0.174 -0.004 0.299 0.186 146 87 1231388
0.409 0.462 0.415 0.216 0 0.19 0.056 0.311 96 342 1231389
0.413 0.471 0.421 0.202 0.021 0.215 0.103 0.292 106 369 1231390
0.416 0.477 0.428 0.163 0 0.261 0.137 0.352 143 496 1231391
0.407 0.466 0.42 0.109 0.016 0.274 0.04 0.381 92 584 1231392
0.406 0.466 0.454 0.216 0.025 0.188 0.107 0.375 100 291 1231393
0.515 0.538 0.529 0.528 0.454 -0.003 0.28 0.225 24 10 1231394
0.515 0.537 0.528 0.528 0.425 0 0.406 0.245 29 6 1231395
