"nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"1" 10 0.376131111824229 0.179691023896602 0.000932932932932933 0.0274194194194194 1231146
"2" 50 0.504952952952953 0.4201001001001 0.0405565565565566 0.0464904904904905 1231146
"3" 100 0.60592992992993 0.525513513513513 0.0199039039039039 0.027967967967968 1231146
"4" 500 0.718674674674675 0.703695695695696 0.0777857857857858 0.0246726726726727 1231146
"5" 5000 0.77833033033033 0.784116116116116 0.100056056056056 0.0285765765765766 1231146
"6" 20000 0.788312312312312 0.79794994994995 0.0996556556556557 0.0287647647647648 1231146
"1" 10 0.267897170803301 0.22451706302439 -0.0127927927927928 0.00425225225225225 1231147
"2" 50 0.399209608818627 0.371687687687688 0.0330610610610611 0.0285165165165165 1231147
"3" 100 0.539091091091091 0.529473473473473 0.0232432432432432 0.0182542542542543 1231147
"4" 500 0.709169169169169 0.70627027027027 0.030002002002002 0.0473273273273273 1231147
"5" 5000 0.789165165165165 0.791787787787788 0.0476116116116116 0.0407767767767768 1231147
"6" 20000 0.800288288288288 0.792668668668669 0.0468108108108108 0.037029029029029 1231147
"1" 10 0.360785011918299 0.28231580513472 0.0465185185185185 -0.0107747747747748 1231148
"2" 50 0.557813813813814 0.572216216216216 0.122334334334334 0.0927167167167167 1231148
"3" 100 0.583247247247247 0.626874874874875 0.160668668668669 0.1124004004004 1231148
"4" 500 0.725493493493493 0.700124124124124 0.18773973973974 0.138838838838839 1231148
"5" 5000 0.753017017017017 0.723591591591591 0.192288288288288 0.140932932932933 1231148
"6" 13007 0.752484484484484 0.727143143143143 0.194058058058058 0.146822822822823 1231148
"1" 10 0.456654602173299 0.183308235574983 0.0345745745745746 0.187035035035035 1231149
"2" 50 0.578710710710711 0.413238130807858 0.0457217217217217 0.421053053053053 1231149
"3" 100 0.6524004004004 0.506406457725609 0.0636916916916917 0.519603603603604 1231149
"4" 500 0.754178178178178 0.649972572467963 0.0693293293293293 0.649321321321321 1231149
"5" 5000 0.785085085085085 0.724716716716717 0.103059059059059 0.728168168168168 1231149
