"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.31 0.38 0.26 0.176 0.157 0.081 0.243 0.027 5 6 1231308
0.398 0.422 0.422 0.422 0.422 0 0.042 0.373 6 0 1231309
0.388 0.414 0.41 0.41 0.374 0 0.246 0.374 7 0 1231310
0.4 0.434 0.434 0.434 0.246 0 0.032 0.375 9 0 1231311
0.394 0.427 0.427 0.427 0.42 0 0.142 0.378 5 0 1231312
0.353 0.403 0.403 0.403 0.207 0 0.274 0.276 8 0 1231313
0.383 0.429 0.429 0.429 0.429 0 0.041 0.429 4 0 1231314
0.398 0.456 0.456 0.265 0.414 0.148 0.082 0.215 6 2 1231315
0.408 0.466 0.466 0.424 0.413 0.045 0.201 0.319 5 3 1231316
0.403 0.467 0.465 0.286 0.439 0.13 0.095 0.308 4 3 1231317
0.391 0.437 0.436 0.263 0.306 0.141 0.073 0.398 5 3 1231318
0.498 0.531 0.515 0.499 0.095 0.03 0.275 0.206 180 185 1231319
0.505 0.535 0.495 0.489 0 0.03 0.297 0.301 179 187 1231320
0.5 0.536 0.527 0.506 0 0.041 0.271 0.241 270 211 1231321
0.501 0.536 0.52 0.51 0.056 0.028 0.294 0.297 251 206 1231322
0.508 0.536 0.529 0.51 0.113 -0.041 0.426 0.214 173 110 1231323
0.476 0.526 0.489 0.435 0 0.077 0.266 0.297 143 231 1231324
0.484 0.528 0.489 0.424 0.039 0.054 0.205 0.378 160 236 1231325
0.482 0.529 0.455 0.464 0 0.043 0.155 0.333 227 310 1231326
0.479 0.527 0.488 0.407 0 0.09 0.101 0.392 166 343 1231327
0.469 0.52 0.504 0.474 0 0.046 0.145 0.251 140 120 1231328
0.475 0.528 0.522 0.477 0 0.076 0.083 0.458 116 261 1231329
0.481 0.53 0.466 0.403 0 0.04 0.173 0.28 138 260 1231330
0.484 0.528 0.508 0.449 0 0.073 0.137 0.394 189 320 1231331
0.478 0.53 0.491 0.37 0.042 0.13 0.029 0.439 130 400 1231332
0.462 0.512 0.494 0.436 0 0.058 0.131 0.322 97 174 1231333
0.495 0.587 0.559 0.461 0.159 0.094 0.334 0.338 201 285 1231334
0.491 0.586 0.549 0.438 0.115 0.078 0.316 0.269 289 293 1231335
0.5 0.597 0.561 0.442 0.152 0.118 0.315 0.332 363 343 1231336
0.492 0.594 0.56 0.424 0.06 0.126 0.286 0.309 328 376 1231337
0.504 0.587 0.579 0.446 0.073 0.101 0.354 0.195 224 186 1231338
0.572 0.624 0.613 0.577 0 0.055 0.19 0.41 183 225 1231339
0.564 0.62 0.588 0.534 0.094 0.057 0.292 0.348 236 273 1231340
0.573 0.628 0.607 0.522 0.029 0.112 0.252 0.449 283 343 1231341
0.57 0.632 0.565 0.514 0.158 0.083 0.133 0.409 214 411 1231342
0.553 0.612 0.568 0.552 0.113 0.031 0.3 0.301 184 166 1231343
0.569 0.642 0.613 0.36 0.045 0.188 0.164 0.518 125 333 1231344
0.56 0.637 0.603 0.406 0.139 0.194 0.155 0.459 150 392 1231345
0.57 0.648 0.62 0.376 0.047 0.217 0.161 0.491 224 504 1231346
0.565 0.649 0.604 0.381 0.118 0.232 0.071 0.54 153 549 1231347
0.537 0.612 0.597 0.378 0.114 0.159 0.108 0.499 114 240 1231348
0.315 0.387 0.37 0.277 0.09 0.098 0.149 0.157 224 306 1231349
0.309 0.381 0.348 0.221 0.065 0.126 0.189 0.172 328 343 1231350
0.32 0.401 0.374 0.26 0.123 0.108 0.19 0.205 406 418 1231351
0.322 0.397 0.32 0.231 0.034 0.13 0.134 0.2 336 463 1231352
