"seed" "subpopID" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "N" "opt0" "opt1" "x" "y" "PC1" "PC2" "PC3" "LFMM_U1_temp" "LFMM_U1_sal" "LFMM_U2_temp" "LFMM_U2_sal" "RDA1" "RDA2" "RDA1_corr" "RDA2_corr" "RDA_PC1" "RDA_PC2" "RDA_PC1_corr" "RDA_PC2_corr" "RDA_predict_tempPhen_20KSNPs" "RDA_predict_salPhen_20KSNPs" "RDA_predict_tempPhen_20KSNPs_structcorr" "RDA_predict_salPhen_20KSNPs_structcorr"
"3021" "1231094" 4 54 0 4 0 -0.974418 -0.333333 -1 0.998692 TRUE 38 -0.333333 -1 4 1 81.8919 50.6059 -28.6756 29.8397088407104 57.5944523677278 -11.7388015605719 31.9991445821004 -2.61805158454888 1.21968399616558 -4.37171956694958 1.17335180799493 -2.93555861636979 2.12246125289759 -0.241442621387685 3.75919353728527 -2643.91226731984 17.563272423531 -25.6252189864834 24.9385957763191
"3025" "1231094" 4 58 4 4 0 -1.13512 -0.333333 -1 0.964145 TRUE 38 -0.333333 -1 4 1 81.1358 51.28 -32.0028 29.5879302639029 56.6558433176884 -13.6971400801795 31.6887853395264 -2.57763341601893 -2.17706786675901 -4.79240405130032 -2.24994344211696 -2.91117059325949 2.36894808787753 -0.45567910947758 4.43996525640192 -2604.71797096329 -38.5726967055053 -28.0255446905951 -31.2864131437724
"3027" "1231094" 4 60 6 4 0 -1.16208 -0.333333 -1 0.948818 TRUE 38 -0.333333 -1 4 1 78.927 52.3385 -31.236 30.9563531479149 55.6401138768283 -13.9438574241925 33.0169691115213 -2.53379902225979 -1.59761538383794 -5.05676598446559 -1.67636581698909 -3.0385502319084 2.39898321428569 -0.606975522250816 3.82999736776095 -2558.75919907724 -30.2219242890146 -29.9661151573427 -22.9359164016051
"3031" "1231094" 4 64 10 4 0 -1.099 -0.333333 -1 0.980589 TRUE 38 -0.333333 -1 4 1 76.4416 48.8791 -31.1997 28.5019162047765 53.5014591182504 -13.6218515798566 30.4823739669639 -2.43586525265375 -1.33712987868195 -4.88794893943999 -1.42130674670437 -2.81043535070452 2.35885258503542 -0.881269770613836 3.43026881390928 -2458.67392259346 -26.1210691426871 -28.7621698724911 -19.2058998012728
"3036" "1231094" 4 69 15 4 0 -0.983467 -0.333333 -1 0.999453 TRUE 38 -0.333333 -1 4 1 78.935 49.0911 -31.0343 28.2957182616961 55.0395783798599 -12.4588790019122 30.3406796653719 -2.50277779712329 -2.8571593079943 -4.42757713666918 -2.91924053974017 -2.79081284236604 2.21630126341743 -0.528051147812359 3.41661286835991 -2530.03305409758 -49.462315055181 -25.9831792172567 -42.381738257697
"3041" "1231094" 4 74 20 4 0 -0.861878 -0.333333 -1 0.962564 TRUE 38 -0.333333 -1 4 1 77.3928 45.6376 -26.0516 25.9333005965863 54.0245223072185 -9.94870862001218 27.9569025144624 -2.45552722669966 0.531256124095228 -4.04636346998045 0.479846808814269 -2.57217356173283 1.90134031282417 -0.596489455437379 2.20833740378643 -2477.51904637341 3.60981157056193 -24.0261784334295 10.4199159931943
"3042" "1231094" 4 75 21 4 0 -0.959004 -0.333333 -1 0.996644 TRUE 38 -0.333333 -1 4 1 81.3816 49.3584 -27.8894 28.3711591988464 57.230861611215 -10.1611249795481 30.5162038880011 -2.5992348111353 -1.58092169075529 -3.93045786785121 -1.61419444421062 -2.79820578059006 1.92985430883323 -0.383498771565311 3.49660533382044 -2624.88773839954 -29.0137770864963 -22.7229474604447 -21.7398873508278
"3043" "1231094" 4 76 22 4 0 -0.955634 -0.333333 -1 0.996071 TRUE 38 -0.333333 -1 4 1 79.4382 48.3376 -29.1973 27.9566651111419 55.3559514488948 -11.358831307551 30.0303907025652 -2.51559173769244 -0.117019925205909 -4.14214813400827 -0.163678846576331 -2.7600765877995 2.07702080129226 -0.254221078225392 2.76089590339054 -2535.0597009689 -4.1635257678224 -24.3874322327579 2.89080817832119
"3045" "1231094" 4 78 24 4 0 -1.05009 -0.333333 -1 0.994994 TRUE 38 -0.333333 -1 4 1 77.1227 44.754 -23.4552 25.2745432770663 53.9760550504851 -8.41179897791843 27.3101638956662 -2.44937349524799 0.0177146920237127 -3.32571311753167 -0.000170171343778992 -2.5107927992646 1.71117522350971 -0.515379849206201 1.87786481398633 -2477.4495002595 -5.68716492683252 -19.8392331679626 1.06254190339241
"3058" "1231094" 4 91 37 4 0 -0.746689 -0.333333 -1 0.87956 TRUE 38 -0.333333 -1 4 1 76.8394 50.4635 -28.895 29.6455800483251 53.714034269151 -12.3751115744273 31.644649109359 -2.44405679108811 -1.55959119604758 -4.43017971706735 -1.61404298033085 -2.91670412551125 2.20438464562439 -0.579613602375803 2.79023433318997 -2486.4834117544 -29.1421276949637 -26.2046091224638 -22.0592201139177
